img/arte/Gufo sostituito.jpg | Gufo, 2012. *Maniera nera, collezione L'Officina Arte Contemporanea.*
img/arte/Owl in the dark.jpg | Owl in the dark, 2013. *Maniera nera, opera selezionata alla Biennale Internazionale del Premio Acqui.*
img/arte/Owl.jpg | Owl, 2014. *Puntasecca su plexiglass.*
img/arte/Linocut1.JPG | Linocut "Il Mito", 2017. *linoleografia su carta.*
img/arte/Linocut2.JPG | Linocut "Le ambre della principessa", 2017. *linoleografia su carta.*
img/arte/Fossili.jpg | Fossili, 2018. *Acquatinta su lastra di alluminio (no toxic).*
img/arte/Nut.jpg | Nut, 2018. *Acquaforte e acquatinta su lastra di alluminio.*
img/arte/Presenze.jpg | Presenze, 2018. *Acquaforte, doppia battuta.*
img/arte/2018-09-29 MD a ArtWalk.jpg | Marita ad ArtWalk 2018
img/arte/DSC06915.JPG | Marita espone a Vicenza Art Walk 2018
img/arte/DSC06954.JPG | Marita espone a Vicenza Art Walk 2018
img/arte/Gufetti.JPG | Gufetti ad "ArtWalk", 2018. *Acquaforte su carta.*
img/arte/Polvere di neve.jpg | Polvere di neve, 2018. *Acquatinta su lastra di alluminio (no toxic), selezionata alla Biennale del Premio Acqui.*
img/arte/DSC03223.JPG | Marita espone alla Biennale di Aqui 2019
img/arte/DSC03335.JPG | Marita espone alla Biennale di Aqui 2019
img/arte/61762395_10214715246656288_3705629578908139520_o.jpg | Marita espone alla Biennale di Bassano 2019
img/arte/DSC02854.JPG | Marita espone alla Biennale di Bassano 2019
img/arte/IMG-20190601-WA0003.jpg | Marita espone alla Biennale di Bassano 2019
img/arte/Gesù_La_Via.jpg | Gesù La_Via, 2020. *Pastelli su carta, collezione "Corona_Gesù".*
img/arte/Gesù_La_Verità.jpg | Gesù La_Verità, 2020. *Pastelli su carta, collezione "Corona_Gesù".*
img/arte/Gesù_La_Vita.JPG | Gesù La_Vita, 2020. *Grafite su carta sottile e traslucida, collezione "Corona_Gesù".*
img/arte/Veronica.jpg | Veronica, 2020. *Pastelli e grafite su carta di riso, collezione "Corona_Gesù".*
img/arte/Infinito.jpg | M'illumino d'Infinito, 2021. *Pastelli e grafite su carta, mostra "Volto di Donna".*
img/arte/Ric&mamma.JPG | Marita e Riccardo alla *Mostra "Volto di Donna", 2021.*
